                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3197,                 2.4338,                 1.5432,                0.00613,                      1,                0.61549,                0.39396,                0.93863,                 2.6493,                 1.2436,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.1801,                 2.0996,                 1.4338,                0.00613,                      1,                0.91215,                0.60418,                0.96984,                 2.6122,                 1.2607,             0.00013723,             0.00013723,             0.00013723
                      3,                 1.1858,                 1.5413,                  1.413,                0.00613,                      1,                0.98675,                 0.6522,                 1.0053,                 2.4866,                  1.283,             0.00021129,             0.00021129,             0.00021129
                      4,                 1.0888,                 1.2072,                 1.3328,                  0.006,                0.97826,                0.88233,                0.56343,                 1.1246,                 2.5578,                 1.4003,             0.00028218,             0.00028218,             0.00028218
                      5,                 1.0761,                  1.186,                 1.3495,                0.00573,                0.93478,                0.64978,                0.37598,                 1.6396,                 2.7055,                 1.8572,              0.0003499,              0.0003499,              0.0003499
                      6,                  1.009,                 1.1356,                 1.3057,                0.92357,                0.26282,                0.67985,                0.38158,                 1.6634,                 2.4473,                 1.9854,             0.00041446,             0.00041446,             0.00041446
                      7,                 1.0588,                  1.077,                 1.2877,                0.92134,                0.50944,                0.75247,                 0.4522,                 1.5236,                 2.1044,                 1.8621,             0.00047585,             0.00047585,             0.00047585
                      8,                 1.0887,                 1.1219,                  1.305,                0.93852,                0.69565,                0.86948,                0.55845,                 1.2901,                 1.8772,                 1.5998,             0.00053407,             0.00053407,             0.00053407
                      9,                0.99858,                 1.0092,                 1.2321,                0.85723,                0.78318,                0.91918,                0.51386,                  1.302,                 1.7557,                 1.6038,             0.00058912,             0.00058912,             0.00058912
                     10,                 1.0284,                 1.0416,                 1.2952,                0.95399,                0.90163,                0.96878,                0.57966,                 1.2316,                 1.4944,                 1.6148,               0.000641,               0.000641,               0.000641
                     11,                 1.0367,                 1.0099,                 1.2614,                0.87158,                0.93478,                0.95697,                0.58333,                 1.2602,                 1.3477,                 1.6508,             0.00068972,             0.00068972,             0.00068972
                     12,                 1.0179,                 1.0318,                 1.2769,                0.86666,                0.91304,                0.95997,                0.59119,                 1.2717,                 1.3699,                  1.659,             0.00073527,             0.00073527,             0.00073527
                     13,                 1.0171,                0.98365,                 1.2499,                0.87509,                0.82609,                0.93671,                0.55315,                 1.2217,                 1.5371,                   1.55,             0.00077765,             0.00077765,             0.00077765
                     14,                 1.0567,                 0.9824,                 1.2799,                0.84356,                0.82609,                0.88705,                0.47211,                   1.27,                 1.6743,                 1.5756,             0.00081686,             0.00081686,             0.00081686
                     15,                 1.0573,                 1.0003,                 1.2541,                0.81089,                 0.8913,                0.91208,                0.54808,                 1.1743,                 1.5351,                 1.5049,              0.0008529,              0.0008529,              0.0008529
                     16,                  1.066,                 0.9738,                 1.2308,                0.84053,                0.91669,                0.94824,                 0.5878,                  1.284,                 1.4078,                  1.681,             0.00088578,             0.00088578,             0.00088578
                     17,                 0.9873,                0.90034,                 1.2126,                 0.9064,                0.93478,                0.95946,                0.58282,                 1.3094,                 1.3749,                 1.7547,             0.00091549,             0.00091549,             0.00091549
