                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,,
1,1.4191,2.3413,1.7062,0.92999,0.86639,0.95587,0.66862,0.97675,1.9933,1.2818,6.00E-05,6.00E-05,6.00E-05,,0.897064136
2,1.2284,1.405,1.4768,0.97065,0.91304,0.97733,0.67915,1.0379,5.2788,1.2905,0.00013723,0.00013723,0.00013723,,0.94096404
3,1.1631,1.3091,1.3862,0.96786,0.93478,0.98501,0.65121,1.1207,3.0665,1.321,0.00021129,0.00021129,0.00021129,,0.951032429
4,1.0787,1.0582,1.3082,0.96751,0.82609,0.94596,0.64881,1.1548,1.1191,1.4187,0.00028218,0.00028218,0.00028218,,0.891224728
5,1.0597,1.0511,1.3056,0.94715,0.77926,0.89763,0.55448,1.2729,1.2084,1.6377,0.0003499,0.0003499,0.0003499,,0.855041513
6,1.0154,0.96501,1.2929,0.90102,0.78261,0.89501,0.52234,1.3116,1.2434,1.7594,0.00041446,0.00041446,0.00041446,,0.837651102
7,1.0513,0.90499,1.3021,1,0.88607,0.93733,0.56882,1.2869,1.011,1.6404,0.00047585,0.00047585,0.00047585,,0.939593971
8,1.0416,0.92793,1.2968,0.87737,0.93478,0.96911,0.59491,1.2557,1.5205,1.6059,0.00053407,0.00053407,0.00053407,,0.905165608
9,0.93467,0.80337,1.2172,0.95501,0.92294,0.95784,0.59942,1.244,1.0886,1.5725,0.00058912,0.00058912,0.00058912,,0.938701168
10,1.1182,0.91854,1.3748,0.86286,0.97826,0.96494,0.61475,1.2337,1.3889,1.5764,0.000641,0.000641,0.000641,,0.916943408
11,1.1201,0.87986,1.3036,0.92843,0.84603,0.89368,0.58913,1.306,0.9795,1.6578,0.00068972,0.00068972,0.00068972,,0.88531681
12,1.0676,0.80829,1.3205,0.74022,0.68148,0.74229,0.38218,1.5599,1.5634,2.0021,0.00073527,0.00073527,0.00073527,,0.709636528
13,1.0467,0.80679,1.2583,0.8725,0.63043,0.78217,0.46702,1.4174,1.258,1.7494,0.00077765,0.00077765,0.00077765,,0.731970451
14,1.0757,0.774,1.3129,0.76217,0.84783,0.81131,0.46827,1.396,1.1889,1.7456,0.00081686,0.00081686,0.00081686,,0.802721231
15,1.1437,0.84956,1.3229,0.8106,0.73913,0.7558,0.33875,1.7852,1.2789,2.207,0.0008529,0.0008529,0.0008529,,0.773216984
16,1.1264,0.79145,1.2739,0.64674,0.71739,0.72016,0.30516,2.0699,2.028,2.7045,0.00088578,0.00088578,0.00088578,,0.680235474
17,1.1075,0.7957,1.3196,0.63617,0.82609,0.76505,0.40774,1.692,1.5425,2.4443,0.00091549,0.00091549,0.00091549,,0.718796487
18,1.1783,0.88443,1.3408,0.84813,0.72856,0.87491,0.49397,1.5087,1.1864,2.046,0.00094203,0.00094203,0.00094203,,0.78381114
19,1.1599,0.78739,1.3191,0.90743,0.63949,0.82759,0.43321,1.5788,1.2401,2.0167,0.0009654,0.0009654,0.0009654,,0.750255231
20,1.1101,0.76958,1.2884,0.75672,0.5,0.64387,0.31381,1.6806,1.8846,1.9909,0.0009856,0.0009856,0.0009856,,0.602138901
21,1.1278,0.81913,1.2947,0.61497,0.41304,0.48159,0.23307,2.489,2.2969,3.0154,0.0010026,0.0010026,0.0010026,,0.494172642
22,1.0855,0.83991,1.3451,0.69667,0.45652,0.56162,0.21775,2.6296,2.1411,3.2591,0.0010165,0.0010165,0.0010165,,0.55158957
23,1.0566,0.74498,1.2787,0.76969,0.65391,0.76764,0.40675,1.7922,1.5622,2.3773,0.0010272,0.0010272,0.0010272,,0.707091863
24,1.0294,0.69681,1.2616,0.86892,0.82609,0.90093,0.51523,1.4125,1.3836,1.9624,0.0010347,0.0010347,0.0010347,,0.84696388
25,1.0193,0.7211,1.2306,0.72551,0.78261,0.83854,0.48853,1.4036,1.1506,1.7884,0.0010391,0.0010391,0.0010391,,0.752979048
26,1.0316,0.72793,1.2591,0.72167,0.78921,0.73792,0.42369,1.4587,1.27,1.8268,0.00101,0.00101,0.00101,,0.753930399
27,0.98499,0.6924,1.236,0.77079,0.84783,0.87131,0.51775,1.4167,1.0824,1.7657,0.0009704,0.0009704,0.0009704,,0.807476598
28,0.9088,0.61233,1.1512,0.82078,0.86957,0.90891,0.52841,1.3616,1.0679,1.7023,0.0009308,0.0009308,0.0009308,,0.844470867
29,0.93261,0.65243,1.1714,0.76081,0.84783,0.84305,0.4621,1.4428,1.1497,1.8024,0.0008912,0.0008912,0.0008912,,0.80196631
30,0.98063,0.67793,1.2126,0.88604,0.84783,0.89286,0.51331,1.3989,0.97275,1.7527,0.0008516,0.0008516,0.0008516,,0.866513975
31,0.98241,0.74306,1.2377,0.901,0.8913,0.92442,0.57878,1.278,0.90657,1.5931,0.000812,0.000812,0.000812,,0.896123752
32,0.92194,0.6947,1.216,0.90963,0.8913,0.93669,0.58366,1.2679,0.90249,1.5604,0.0007724,0.0007724,0.0007724,,0.900371718
33,0.94087,0.69481,1.2132,0.81807,0.80435,0.87055,0.53632,1.3383,1.0728,1.5833,0.0007328,0.0007328,0.0007328,,0.811151988
34,0.8827,0.64643,1.1857,0.77902,0.84307,0.84946,0.49884,1.4558,1.1804,1.693,0.0006932,0.0006932,0.0006932,,0.809780458
35,0.8498,0.57858,1.1794,0.88287,0.81941,0.84502,0.49304,1.4263,1.1157,1.6998,0.0006536,0.0006536,0.0006536,,0.849957124
36,0.90885,0.59674,1.1592,0.9497,0.82104,0.90797,0.55529,1.3073,0.94841,1.574,0.000614,0.000614,0.000614,,0.880695854
37,0.87923,0.60344,1.1698,1,0.8432,0.95009,0.59522,1.2413,0.83026,1.5038,0.0005744,0.0005744,0.0005744,,0.914930556
38,0.90424,0.57814,1.17,0.95231,0.93478,0.96072,0.61404,1.1933,0.75158,1.463,0.0005348,0.0005348,0.0005348,,0.943463578
39,0.87035,0.58873,1.1823,0.95119,0.93478,0.96227,0.61709,1.1836,0.69543,1.432,0.0004952,0.0004952,0.0004952,,0.942913608
40,0.85365,0.58673,1.1743,0.95661,0.8913,0.92755,0.602,1.1993,0.68697,1.4616,0.0004556,0.0004556,0.0004556,,0.922800886
41,0.78668,0.68872,1.1845,0.8776,0.8913,0.89808,0.57506,1.2475,0.69076,1.5122,0.000416,0.000416,0.000416,,0.884396947
42,0.76105,0.5067,1.0884,0.89078,0.93478,0.90826,0.57203,1.2421,0.74317,1.5339,0.0003764,0.0003764,0.0003764,,0.912249752
43,0.72446,0.50662,1.0729,0.93164,0.88883,0.90584,0.599,1.1563,0.72378,1.4549,0.0003368,0.0003368,0.0003368,,0.909731642
44,0.70086,0.50106,1.1062,0.92171,0.86957,0.91489,0.63943,1.1009,0.66546,1.4009,0.0002972,0.0002972,0.0002972,,0.894881163
45,0.69599,0.45244,1.1482,0.91438,0.92875,0.93936,0.65397,1.063,0.61529,1.3615,0.0002576,0.0002576,0.0002576,,0.921508982
46,0.71444,0.43089,1.0824,0.93548,0.93478,0.96827,0.66419,1.092,0.60242,1.3812,0.000218,0.000218,0.000218,,0.935129869
47,0.65952,0.41925,1.1039,0.96255,0.93478,0.9583,0.67504,1.0941,0.57705,1.392,0.0001784,0.0001784,0.0001784,,0.948461774
48,0.67256,0.43603,1.1299,0.95633,0.95652,0.95386,0.66338,1.1048,0.58436,1.3826,0.0001388,0.0001388,0.0001388,,0.956424991
49,0.64136,0.39585,1.0848,0.95075,0.95652,0.95816,0.66431,1.1141,0.56606,1.3861,9.92E-05,9.92E-05,9.92E-05,,0.953626272
50,0.62633,0.3936,1.0256,0.95218,0.95652,0.9648,0.66534,1.1124,0.55424,1.3854,5.96E-05,5.96E-05,5.96E-05,,0.954345066
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.841631649
